jst,bid,ask,volume,volume_real,flags
2025-06-18 00:01:26.215000+09:00,73.335,73.389,0,0.0,1154
2025-06-18 00:01:26.416000+09:00,73.345,73.409,0,0.0,1158
2025-06-18 00:01:26.616000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:01:26.818000+09:00,73.365,73.419,0,0.0,1154
2025-06-18 00:01:27.018000+09:00,73.355,73.409,0,0.0,1158
2025-06-18 00:01:27.321000+09:00,73.345,73.399,0,0.0,1158
2025-06-18 00:01:27.624000+09:00,73.335,73.389,0,0.0,1158
2025-06-18 00:01:28.427000+09:00,73.335,73.399,0,0.0,1028
2025-06-18 00:01:28.830000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:01:29.131000+09:00,73.325,73.389,0,0.0,1158
2025-06-18 00:01:29.432000+09:00,73.335,73.389,0,0.0,1154
2025-06-18 00:01:29.632000+09:00,73.325,73.379,0,0.0,1158
2025-06-18 00:01:30.034000+09:00,73.325,73.389,0,0.0,1028
2025-06-18 00:01:30.136000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:01:30.434000+09:00,73.335,73.389,0,0.0,1158
2025-06-18 00:01:31.639000+09:00,73.335,73.399,0,0.0,1028
2025-06-18 00:01:31.837000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:01:32.037000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:01:33.038000+09:00,73.335,73.389,0,0.0,1028
2025-06-18 00:01:33.541000+09:00,73.345,73.399,0,0.0,1158
2025-06-18 00:01:33.742000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:01:35.542000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:01:36.749000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:01:36.848000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:01:37.247000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:01:37.448000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:01:38.148000+09:00,73.355,73.409,0,0.0,1158
2025-06-18 00:01:38.249000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:01:38.349000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:01:38.648000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:01:38.747000+09:00,73.365,73.429,0,0.0,1158
2025-06-18 00:01:39.249000+09:00,73.365,73.419,0,0.0,1028
2025-06-18 00:01:39.350000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:01:39.652000+09:00,73.365,73.419,0,0.0,1028
2025-06-18 00:01:39.852000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:41.056000+09:00,73.385,73.439,0,0.0,1158
2025-06-18 00:01:41.356000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:01:41.856000+09:00,73.385,73.439,0,0.0,1028
2025-06-18 00:01:43.260000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:44.462000+09:00,73.365,73.429,0,0.0,1154
2025-06-18 00:01:44.860000+09:00,73.365,73.419,0,0.0,1028
2025-06-18 00:01:45.762000+09:00,73.355,73.419,0,0.0,1154
2025-06-18 00:01:46.162000+09:00,73.355,73.409,0,0.0,1028
2025-06-18 00:01:46.263000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:01:46.362000+09:00,73.355,73.409,0,0.0,1028
2025-06-18 00:01:46.863000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:01:47.365000+09:00,73.345,73.399,0,0.0,1028
2025-06-18 00:01:48.766000+09:00,73.355,73.409,0,0.0,1158
2025-06-18 00:01:50.373000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:01:50.573000+09:00,73.365,73.419,0,0.0,1154
2025-06-18 00:01:50.672000+09:00,73.355,73.419,0,0.0,1154
2025-06-18 00:01:51.373000+09:00,73.355,73.409,0,0.0,1028
2025-06-18 00:01:51.673000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:01:53.476000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:54.177000+09:00,73.385,73.439,0,0.0,1158
2025-06-18 00:01:54.379000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:01:54.778000+09:00,73.395,73.449,0,0.0,1154
2025-06-18 00:01:55.180000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:58.790000+09:00,73.355,73.409,0,0.0,1158
2025-06-18 00:01:59.993000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:02:00.295000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:02:00.496000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:02:00.995000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:02:01.096000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:02:01.197000+09:00,73.355,73.419,0,0.0,1154
2025-06-18 00:02:01.297000+09:00,73.355,73.409,0,0.0,1028
